latitude,longitude,store_id,store_name,pincode,address,dc_blinkit_internal_city,dc_blinkit_internal_city_id,scraping_enabled,pluscode,last_active_dt,discovery_dt
22.28779,70.781296,36483,Super Store Rajkot KKV Chowk ES4,360001,,rajkot,228275857,0,7JJG7QQJ+4G7P22G,2100-01-01,2025-01-01
19.12038,72.84416,36517,Super Store Mumbai Andheri West Juhu ES144,400033,,mumbai,223525546,0,7JFJ4RCV+5M365FW,2100-01-01,2025-01-01
19.174513,72.86867,36519,Super Store Mumbai Dindoshi ES147,400066,,mumbai,223525546,0,7JFJ5VF9+RF3FH66,2100-01-01,2025-01-01
28.392473,76.99423,36521,Super Store Gurgaon Sector 70 ES145,122007,,gurgaon,227138302,0,7JWR9XRV+XMQWJ4G,2100-01-01,2025-01-01
28.41677,77.04854,36523,Super Store Gurgaon Sector 49 ES147,122002,,gurgaon,227138302,0,7JWVC28X+PC3V7V8,2100-01-01,2025-01-01
29.141747,75.734726,36525,Super Store Hisar Sector 13 ES1,125005,,hisar,228377754,0,7JXQ4PRM+MVXRHC4,2100-01-01,2025-01-01
12.921046,77.63319,36527,Super Store Bengaluru Koramangala Extn ES160,560011,,bengaluru,225966022,0,7J4VWJCM+C78R69F,2100-01-01,2025-01-01
30.750315,76.60941,36529,Super Store Kharar GBP Crest ES55,140901,,kharar,223165075,0,8J2RQJ25+4QFJ38W,2100-01-01,2025-01-01
22.519287,88.38909,36531,Super Store Kolkata Ruby ES126,712311,,kolkata,229248797,0,7MJCG99Q+PJ8HH82,2100-01-01,2025-01-01
12.924933,77.5094,36535,Super Store Bengaluru Prestige Bagmane ES164,560098,,bengaluru,225966022,0,7J4VWGF5+XQC,2026-07-29,2025-01-01
30.075,78.28333,36550,Super Store Rishikesh Pragati Vihar ES1,249201,,rishikesh,227625017,0,8J2W37GM+284,2026-07-29,2025-01-01
17.437216,78.3543,36552,Super Store Hyderabad TNGO Colony ES99,500067,,hyderabad,227188707,0,7J9WC9P3+VPMP3F5,2100-01-01,2025-01-01
