"filter_key","wh_name","dc_blinkit_internal_city","place_of_supply","item_id","frontend_inv_qty","backend_inv_qty","drr_7_be","drr_7_fe_be","doi_be","doi_fe_be","po_number","po_state","units_ordered","remaining_quantity","total_amount"
kolkata-10176795,KOLKATA K4 - FEEDER WAREHOUSE,kolkata,kolkata,"10176795",473,140,54.31419457735249,59.959559649516976,2.577595066803699,11.28618411393334,"2135610069122",Scheduled,180,180,6804.0
bengaluru-10216715,BENGALURU B3 - FEEDER WAREHOUSE,bengaluru,bengaluru,"10216715",776,292,249.91493515548737,202.04762986275597,1.1683975582264778,4.2734540828283505,"1736010087973",Scheduled,288,288,7488.0
kolkata-10176794,KOLKATA K4 - FEEDER WAREHOUSE,kolkata,kolkata,"10176794",209,107,14.56701030927835,14.743234738829452,7.345364472753008,21.692852087756545,"","",0,0,0.0
nellore-10176795,CPC - NELLORE RAMALINGA PURAM (HP),nellore,nellore,"10176795",10,0,2.2428411390162215,1.8413058907026258,0.0,4.458630540541228,"","",0,0,0.0
solapur-10216715,CPC - SOLAPUR KARNIK NAGAR (HP),solapur,solapur,"10216715",20,0,7.351421622572101,2.794165523963138,0.0,2.7205622295681144,"","",0,0,0.0
noida-10176797,CPC - NOIDA1 (HP),noida,noida,"10176797",106,84,27.88866067001913,40.286259307723846,3.011976838683461,6.812804754164971,"","",0,0,0.0
lucknow-10216715,SUPER STORE LUCKNOW L4 - WAREHOUSE,lucknow,lucknow,"10216715",313,161,42.54022645595055,87.08482549685114,3.7846531016169336,11.142394845754202,"1735810060912",Scheduled,360,360,9360.0
coimbatore-10325396,CPC - COIMBATORE1 (HP),coimbatore,coimbatore,"10325396",5,0,0.09055425448868071,0.0,0.0,55.21551724137932,"","",0,0,0.0
nagpur-10291036,NAGPUR N1 - FEEDER WAREHOUSE,nagpur,nagpur,"10291036",125,23,12.675031553938672,7.327667610953729,1.8145911433926902,11.676499531396441,"2549710051216",Scheduled,24,24,18463.2
guwahati-10260300,GUWAHATI G1 - FEEDER WAREHOUSE,guwahati,guwahati,"10260300",47,20,2.8764853939440163,6.250720976948626,6.952929447202071,23.29231364812694,"","",0,0,0.0
vijayawada-10176795,VIJAYAWADA - FEEDER WAREHOUSE,vijayawada,vijayawada,"10176795",167,48,28.545250860206455,44.05981952752712,1.6815406610041204,7.53190087741429,"51388610011914",Scheduled,180,180,6804.0
farukhnagar-10260300,FARUKHNAGAR - SR FEEDER WAREHOUSE,farukhnagar,farukhnagar,"10260300",21,6,9.412819363514119,10.854745673833248,0.6374285714285715,2.8684285714285713,"1735210075435",Scheduled,36,36,6804.0
gandhidham-10176794,CPC - GANDHIDHAM GAYATRI KUNJ (HP),gandhidham,gandhidham,"10176794",4,0,0.0,0.6862048491809345,0.0,0.0,"","",0,0,0.0
bengaluru-10249576,BENGALURU B3 - FEEDER WAREHOUSE,bengaluru,bengaluru,"10249576",1,8,2.1153846153846154,0.7432432432432433,3.7818181818181817,4.254545454545455,"","",0,0,0.0
hyderabad-10216726,HYDERABAD H3 - FEEDER WAREHOUSE,hyderabad,hyderabad,"10216726",845,233,160.28571428571428,160.28571428571428,1.4536541889483066,6.7254901960784315,"6769710093850",Scheduled,288,288,7488.0
bhubaneswar-10265740,BHUBANESWAR B1 - FEEDER WAREHOUSE,bhubaneswar,bhubaneswar,"10265740",299,163,36.55960568628361,23.96951609905202,4.4584725940070555,12.63689778178687,"","",0,0,0.0
kolkata-10292367,KOLKATA K4 - FEEDER WAREHOUSE,kolkata,kolkata,"10292367",297,20,27.889183765939546,31.214638572436737,0.7171238917513809,11.366413684259387,"2135610069122",Scheduled,144,144,11095.2
bhopal-10249574,BHOPAL B1 - FEEDER WAREHOUSE,bhopal,bhopal,"10249574",4,82,1.2932195779074989,0.8486562942008485,63.40763888888889,66.50069444444445,"","",0,0,0.0
mumbai-10315546,MUMBAI M12 - FEEDER WAREHOUSE,mumbai,mumbai,"10315546",101,145,61.59479826971733,60.189612744463155,2.3540948923163905,3.993843748343669,"50033210038659",Scheduled,48,48,1560.0
farukhnagar-10249577,FARUKHNAGAR - SR FEEDER WAREHOUSE,farukhnagar,farukhnagar,"10249577",12,0,0.519199567333694,1.1029049729197442,0.0,23.112499999999997,"1735210072912",Scheduled,96,96,73852.8
farukhnagar-10216726,FARUKHNAGAR F2 - FEEDER WAREHOUSE,farukhnagar,farukhnagar,"10216726",1557,823,208.43584521384923,231.36001798123212,3.948457133923512,11.418381505149403,"5383910067895",Scheduled,288,288,7488.0
lucknow-10216722,SUPER STORE LUCKNOW L4 - WAREHOUSE,lucknow,lucknow,"10216722",60,0,4.427607310529846,11.333063729110718,0.0,13.551337278106507,"1735810060912",Scheduled,72,72,1872.0
mumbai-10258761,MUMBAI M11 - FEEDER WAREHOUSE,mumbai,mumbai,"10258761",107,4,12.105263157894736,7.899159663865546,0.3304347826086957,9.169565217391305,"5625710056407",Scheduled,36,36,6804.0
bengaluru-10176795,BENGALURU B5 - FEEDER WAREHOUSE,bengaluru,bengaluru,"10176795",643,1575,166.61166562694947,196.84762642469843,9.453119588435609,13.312393172793767,"49990010081045",Scheduled,360,360,13608.0
"",KUNDLI - FEEDER WAREHOUSE,kundli,kundli,"10298083",0,0,0.0,0.0,0.0,0.0,"2011710095745",Scheduled,40,40,41972.0
jamnagar-10325396,CPC - JAMNAGAR KHODIYAR COLONY (HP),jamnagar,jamnagar,"10325396",0,0,0.0,0.0,0.0,0.0,"","",0,0,0.0
dasna-10249574,DASNA D3 - FEEDER WAREHOUSE,dasna,dasna,"10249574",11,0,16.76823478636167,13.5988799439972,0.0,0.6560022650056627,"2576310067807",Scheduled,60,60,121758.0
guwahati-10315586,GUWAHATI G1 - FEEDER WAREHOUSE,guwahati,guwahati,"10315586",33,40,0.6416063048774506,0.8762057877813505,62.34352701325178,113.7769367991845,"","",0,0,0.0
bengaluru-10315546,BENGALURU B3 - FEEDER WAREHOUSE,bengaluru,bengaluru,"10315546",255,63,61.588537211291715,47.85780118499013,1.022917621567565,5.163298470769615,"1736010087973",Scheduled,48,48,1560.0
farukhnagar-10258333,FARUKHNAGAR - SR FEEDER WAREHOUSE,farukhnagar,farukhnagar,"10258333",16,0,2.1575008135372604,1.3410440762738356,0.0,7.415987933634991,"1735210076510",Scheduled,72,72,13608.0
"",SURAT S2 - FEEDER WAREHOUSE,surat,surat,"10324645",0,0,0.0,0.0,0.0,0.0,"51076110004846",Scheduled,144,144,12060.0
goa-10265737,CPC-GOA2-FRZ (HP),goa,goa,"10265737",3,1,0.0,0.16747766964404748,0.0,0.0,"","",0,0,0.0
vijayawada-10265740,VIJAYAWADA - FEEDER WAREHOUSE,vijayawada,vijayawada,"10265740",78,82,9.365022146240136,8.12879241620025,8.75598570078356,17.084850147870362,"51388610012846",Scheduled,180,180,6804.0
mumbai-10216726,MUMBAI M10 - FEEDER WAREHOUSE,mumbai,mumbai,"10216726",596,589,161.42927068037199,163.06708494208496,3.648656761673742,7.340676167374167,"2273910096790",Scheduled,216,216,5616.0
kundli-10258333,KUNDLI - FEEDER WAREHOUSE,kundli,kundli,"10258333",56,86,7.982753010087863,4.266958424507659,10.773225714402184,17.788349435408257,"2011710095829",Scheduled,36,36,6804.0
noida-10249578,NOIDA N1 - FEEDER WAREHOUSE,noida,noida,"10249578",52,1,0.12416233313676087,1.8946008783260142,8.05397236614853,426.8605354058721,"2867410094941",Scheduled,24,24,18463.2
patna-10249578,PATNA P1 - FEEDER WAREHOUSE,patna,patna,"10249578",42,23,1.4669462357083514,1.2951901917635962,15.678829557713055,44.30973570658037,"","",0,0,0.0
pune-10199527,PUNE P2 - FEEDER WAREHOUSE,pune,pune,"10199527",247,130,19.956363636363633,21.707253886010363,6.514212827988339,18.891217201166185,"","",0,0,0.0
mangalore-10291036,CPC - MANGALORE ATTAVAR(HP),mangalore,mangalore,"10291036",0,0,0.0,0.0,0.0,0.0,"","",0,0,0.0
vijayawada-10315547,VIJAYAWADA - FEEDER WAREHOUSE,vijayawada,vijayawada,"10315547",49,114,3.2139886804791225,7.142122316083086,35.46994446259392,50.71579778423517,"51388610013167",Scheduled,48,48,1560.0
rajpura-10298083,RAJPURA R2 - FEEDER WAREHOUSE,rajpura,rajpura,"10298083",3,0,0.0,0.2842339008142116,0.0,0.0,"","",0,0,0.0
gurgaon-10176794,SUPER STORE GURGAON G7 ECOM - WAREHOUSE,gurgaon,gurgaon,"10176794",16,0,0.5063125245729764,1.956074124914207,0.0,31.601035375323548,"","",0,0,0.0
kolkata-10315586,KOLKATA K6 - FEEDER WAREHOUSE,kolkata,kolkata,"10315586",50,35,0.6397812713602187,0.5158730158730159,54.706196581196586,132.857905982906,"","",0,0,0.0
mumbai-10176797,MUMBAI M12 - FEEDER WAREHOUSE,mumbai,mumbai,"10176797",511,638,146.2582909894884,153.24800835836487,4.362145870047485,7.855964897624702,"50033210040195",Scheduled,540,540,20412.0
ahmedabad-10176795,AHMEDABAD A2 - FEEDER WAREHOUSE,ahmedabad,ahmedabad,"10176795",407,155,125.1403408246551,166.7039440332556,1.2386093803051395,4.490957882138635,"2738110063421",Scheduled,180,180,6804.0
surat-10315341,SURAT S1 - FEEDER WAREHOUSE,surat,surat,"10315341",71,3,20.800908703677415,32.339981673198025,0.14422446839880734,3.5575368871705813,"2873410039254",Scheduled,48,48,1560.0
